support,itemsets
1.0,"frozenset({'Order Priority', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Priority'})"
1.0,"frozenset({'Order Priority', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Order ID'})"
1.0,"frozenset({'Order Date', 'Ship Date'})"
1.0,"frozenset({'Order Date', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order Date'})"
1.0,"frozenset({'Order Date', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Date'})"
1.0,"frozenset({'Order Date', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Order ID'})"
1.0,"frozenset({'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order ID'})"
1.0,"frozenset({'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Order ID'})"
1.0,"frozenset({'Order ID', 'Total Cost'})"
1.0,"frozenset({'Order ID', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Ship Date'})"
1.0,"frozenset({'Unit Cost', 'Ship Date'})"
1.0,"frozenset({'Total Revenue', 'Ship Date'})"
1.0,"frozenset({'Ship Date', 'Total Cost'})"
1.0,"frozenset({'Ship Date', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Units Sold'})"
1.0,"frozenset({'Unit Cost', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Units Sold'})"
1.0,"frozenset({'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Total Profit', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Unit Price'})"
1.0,"frozenset({'Unit Price', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost'})"
1.0,"frozenset({'Unit Cost', 'Total Cost'})"
1.0,"frozenset({'Unit Cost', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Total Profit'})"
1.0,"frozenset({'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Country', 'Region', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Region'})"
1.0,"frozenset({'Order Priority', 'Country', 'Region'})"
1.0,"frozenset({'Order Date', 'Country', 'Region'})"
1.0,"frozenset({'Country', 'Region', 'Order ID'})"
1.0,"frozenset({'Ship Date', 'Country', 'Region'})"
1.0,"frozenset({'Country', 'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country', 'Region'})"
1.0,"frozenset({'Unit Cost', 'Country', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Region'})"
1.0,"frozenset({'Country', 'Region', 'Total Cost'})"
1.0,"frozenset({'Country', 'Region', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Region', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Region', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Region', 'Item Type'})"
1.0,"frozenset({'Order ID', 'Region', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Region', 'Item Type'})"
1.0,"frozenset({'Region', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Region', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Region', 'Item Type'})"
1.0,"frozenset({'Region', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Region'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Region'})"
1.0,"frozenset({'Sales Channel', 'Region', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Region'})"
1.0,"frozenset({'Sales Channel', 'Region', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Region'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Region'})"
1.0,"frozenset({'Sales Channel', 'Region', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Region', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Region'})"
1.0,"frozenset({'Order Priority', 'Region', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Region'})"
1.0,"frozenset({'Order Priority', 'Region', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Region'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Region'})"
1.0,"frozenset({'Order Priority', 'Region', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Region', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Region', 'Order ID'})"
1.0,"frozenset({'Ship Date', 'Order Date', 'Region'})"
1.0,"frozenset({'Order Date', 'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Region'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Region'})"
1.0,"frozenset({'Order Date', 'Region', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Region', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Order ID'})"
1.0,"frozenset({'Region', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Region', 'Order ID'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Order ID'})"
1.0,"frozenset({'Order ID', 'Region', 'Total Cost'})"
1.0,"frozenset({'Region', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Ship Date', 'Region'})"
1.0,"frozenset({'Ship Date', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold'})"
1.0,"frozenset({'Region', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Total Profit', 'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Unit Price', 'Region'})"
1.0,"frozenset({'Unit Price', 'Region', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Region', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Profit'})"
1.0,"frozenset({'Region', 'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Country', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Country', 'Item Type'})"
1.0,"frozenset({'Country', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Country', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Country', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country', 'Item Type'})"
1.0,"frozenset({'Country', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Country', 'Item Type'})"
1.0,"frozenset({'Country', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Country'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Country'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Country'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Country'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Country', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Order Priority', 'Country'})"
1.0,"frozenset({'Order Priority', 'Country', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Country', 'Ship Date'})"
1.0,"frozenset({'Order Priority', 'Country', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Country', 'Unit Price'})"
1.0,"frozenset({'Order Priority', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Country'})"
1.0,"frozenset({'Order Priority', 'Country', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Country', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Country', 'Order ID'})"
1.0,"frozenset({'Order Date', 'Country', 'Ship Date'})"
1.0,"frozenset({'Order Date', 'Country', 'Units Sold'})"
1.0,"frozenset({'Order Date', 'Country', 'Unit Price'})"
1.0,"frozenset({'Order Date', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Country'})"
1.0,"frozenset({'Order Date', 'Country', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Country', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Country', 'Order ID'})"
1.0,"frozenset({'Country', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country', 'Order ID'})"
1.0,"frozenset({'Country', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Order ID'})"
1.0,"frozenset({'Country', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Country', 'Ship Date', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country', 'Ship Date'})"
1.0,"frozenset({'Ship Date', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Ship Date'})"
1.0,"frozenset({'Country', 'Ship Date', 'Total Cost'})"
1.0,"frozenset({'Country', 'Ship Date', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Country', 'Units Sold'})"
1.0,"frozenset({'Country', 'Unit Cost', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Units Sold'})"
1.0,"frozenset({'Country', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Total Profit', 'Country', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Unit Price', 'Country'})"
1.0,"frozenset({'Unit Price', 'Country', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Country', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Unit Cost'})"
1.0,"frozenset({'Country', 'Unit Cost', 'Total Cost'})"
1.0,"frozenset({'Country', 'Unit Cost', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Country', 'Total Profit'})"
1.0,"frozenset({'Country', 'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Item Type', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Order ID', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Ship Date', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Cost', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Total Cost', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Total Profit', 'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Price', 'Item Type'})"
1.0,"frozenset({'Unit Price', 'Item Type', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Order Date'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Unit Price'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Order Priority'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Order Priority', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Order Date'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Order Date'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Order Date', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Ship Date'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Ship Date', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Total Profit', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Unit Price', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Unit Cost'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Ship Date'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Order Date'})"
1.0,"frozenset({'Order Date', 'Order Priority', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order Date'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Ship Date'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Ship Date'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Ship Date'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Ship Date', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Total Profit', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Unit Price'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Unit Price', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Unit Cost'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Total Cost'})"
1.0,"frozenset({'Order Priority', 'Unit Cost', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Order Date', 'Order ID'})"
1.0,"frozenset({'Order Date', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Order ID'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Order ID'})"
1.0,"frozenset({'Order Date', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Ship Date', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Ship Date'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Ship Date'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Ship Date'})"
1.0,"frozenset({'Order Date', 'Ship Date', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Ship Date', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Units Sold'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Units Sold'})"
1.0,"frozenset({'Order Date', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Order Date', 'Total Profit', 'Units Sold'})"
1.0,"frozenset({'Order Date', 'Unit Price', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Unit Price', 'Order Date'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Order Date', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Unit Cost'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Total Cost'})"
1.0,"frozenset({'Order Date', 'Unit Cost', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Total Cost'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Total Profit'})"
1.0,"frozenset({'Order Date', 'Total Cost', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Ship Date', 'Order ID'})"
1.0,"frozenset({'Ship Date', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order ID'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Unit Price', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Total Revenue', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Order ID', 'Total Cost', 'Units Sold'})"
1.0,"frozenset({'Total Profit', 'Order ID', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Unit Price', 'Order ID'})"
1.0,"frozenset({'Unit Price', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Unit Price', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order ID'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Total Cost'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Total Profit'})"
